perturbation,cell_line,dose_value,time,n_cells,scaffold,smiles
CUDC-907,MCF7,1000.0,24.0,408,c1cnc(NCc2cc3nc(-c4cccnc4)nc(N4CCOCC4)c3s2)nc1,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO
CUDC-907,MCF7,10000.0,24.0,331,c1cnc(NCc2cc3nc(-c4cccnc4)nc(N4CCOCC4)c3s2)nc1,CN(CC1=CC2=C(S1)C(=NC(=N2)C3=CN=C(C=C3)OC)N4CCOCC4)C5=NC=C(C=N5)C(=O)NO
CYC116,A549,10.0,24.0,251,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,A549,100.0,24.0,210,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,A549,1000.0,24.0,153,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,A549,10000.0,24.0,150,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,K562,10.0,24.0,252,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,K562,100.0,24.0,230,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,K562,1000.0,24.0,256,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,K562,10000.0,24.0,198,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,MCF7,10.0,24.0,454,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,MCF7,100.0,24.0,568,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,MCF7,1000.0,24.0,441,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
CYC116,MCF7,10000.0,24.0,345,c1cc(-c2cncs2)nc(Nc2ccc(N3CCOCC3)cc2)n1,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
Capecitabine ,A549,10.0,24.0,234,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,A549,100.0,24.0,265,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,A549,1000.0,24.0,247,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,A549,10000.0,24.0,227,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,K562,10.0,24.0,265,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,K562,100.0,24.0,283,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,K562,1000.0,24.0,291,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,K562,10000.0,24.0,318,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,MCF7,10.0,24.0,467,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,MCF7,100.0,24.0,473,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,MCF7,1000.0,24.0,466,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Capecitabine ,MCF7,10000.0,24.0,530,O=c1ncccn1[C@H]1CCCO1,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O
Carmofur,A549,10.0,24.0,244,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,A549,100.0,24.0,275,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,A549,1000.0,24.0,207,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,A549,10000.0,24.0,160,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,K562,10.0,24.0,269,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,K562,100.0,24.0,257,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,K562,1000.0,24.0,301,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,K562,10000.0,24.0,274,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,MCF7,10.0,24.0,422,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,MCF7,100.0,24.0,351,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,MCF7,1000.0,24.0,405,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Carmofur,MCF7,10000.0,24.0,427,O=c1cc[nH]c(=O)[nH]1,CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
Cediranib (AZD2171),A549,10.0,24.0,269,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),A549,100.0,24.0,228,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),A549,1000.0,24.0,200,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),A549,10000.0,24.0,161,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),K562,10.0,24.0,272,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),K562,100.0,24.0,299,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),K562,1000.0,24.0,279,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),K562,10000.0,24.0,133,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),MCF7,10.0,24.0,464,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),MCF7,100.0,24.0,436,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),MCF7,1000.0,24.0,353,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Cediranib (AZD2171),MCF7,10000.0,24.0,317,c1nc(Oc2ccc3[nH]ccc3c2)c2ccc(OCCCN3CCCC3)cc2n1,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5
Celecoxib,A549,10.0,24.0,249,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,A549,100.0,24.0,178,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,A549,1000.0,24.0,197,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,A549,10000.0,24.0,238,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,K562,10.0,24.0,230,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,K562,100.0,24.0,242,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,K562,1000.0,24.0,255,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,K562,10000.0,24.0,260,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,MCF7,10.0,24.0,463,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,MCF7,100.0,24.0,366,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,MCF7,1000.0,24.0,248,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Celecoxib,MCF7,10000.0,24.0,481,c1ccc(-c2ccnn2-c2ccccc2)cc1,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
"Cerdulatinib (PRT062070, PRT2070)",A549,10.0,24.0,231,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",A549,100.0,24.0,253,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",A549,1000.0,24.0,256,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",A549,10000.0,24.0,189,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",K562,10.0,24.0,281,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",K562,100.0,24.0,255,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",K562,1000.0,24.0,247,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",K562,10000.0,24.0,226,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",MCF7,10.0,24.0,657,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",MCF7,100.0,24.0,560,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",MCF7,1000.0,24.0,534,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
"Cerdulatinib (PRT062070, PRT2070)",MCF7,10000.0,24.0,427,c1cc(NC2CC2)nc(Nc2ccc(N3CCNCC3)cc2)n1,CCS(=O)(=O)N1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4CC4)C(=O)N.Cl
Cimetidine ,A549,10.0,24.0,282,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,A549,100.0,24.0,224,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,A549,1000.0,24.0,172,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,A549,10000.0,24.0,177,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,K562,10.0,24.0,239,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,K562,100.0,24.0,248,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,K562,1000.0,24.0,242,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,K562,10000.0,24.0,244,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,MCF7,10.0,24.0,486,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,MCF7,100.0,24.0,571,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,MCF7,1000.0,24.0,503,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cimetidine ,MCF7,10000.0,24.0,414,c1c[nH]cn1,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Clevudine ,A549,10.0,24.0,288,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,A549,100.0,24.0,217,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,A549,1000.0,24.0,240,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,A549,10000.0,24.0,292,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,K562,10.0,24.0,248,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,K562,100.0,24.0,248,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,K562,1000.0,24.0,237,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,K562,10000.0,24.0,247,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,MCF7,10.0,24.0,579,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,MCF7,100.0,24.0,540,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,MCF7,1000.0,24.0,460,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Clevudine ,MCF7,10000.0,24.0,488,O=c1ccn([C@@H]2CCCO2)c(=O)[nH]1,CC1=CN(C(=O)NC1=O)[C@@H]2[C@@H]([C@H]([C@@H](O2)CO)O)F
Costunolide,A549,10.0,24.0,242,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,A549,100.0,24.0,245,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,A549,1000.0,24.0,238,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,A549,10000.0,24.0,244,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,K562,10.0,24.0,291,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,K562,100.0,24.0,294,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,K562,1000.0,24.0,248,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,K562,10000.0,24.0,273,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,MCF7,10.0,24.0,506,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,MCF7,100.0,24.0,417,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,MCF7,1000.0,24.0,381,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Costunolide,MCF7,10000.0,24.0,462,C=C1C(=O)O[C@@H]2/C=C/CC/C=C/CC[C@@H]12,C/C/1=C\CC/C(=C/[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C
Crizotinib (PF-02341066),A549,10.0,24.0,231,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),A549,100.0,24.0,232,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),A549,1000.0,24.0,237,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),A549,10000.0,24.0,118,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),K562,10.0,24.0,269,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),K562,100.0,24.0,229,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),K562,1000.0,24.0,148,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),K562,10000.0,24.0,114,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),MCF7,10.0,24.0,501,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),MCF7,100.0,24.0,451,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),MCF7,1000.0,24.0,407,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Crizotinib (PF-02341066),MCF7,10000.0,24.0,310,c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1,C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Curcumin,A549,10.0,24.0,236,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Curcumin,A549,100.0,24.0,222,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Curcumin,A549,1000.0,24.0,217,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Curcumin,A549,10000.0,24.0,260,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Curcumin,K562,10.0,24.0,288,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
Curcumin,K562,100.0,24.0,231,O=C(/C=C/c1ccccc1)CC(=O)/C=C/c1ccccc1,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
