drug_name,smiles,scaffold,pubchem_cid,fingerprint_row
"Patupilone (EPO906, Epothilone B)",C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,O=C1CCCCCCC2O[C@H]2C[C@@H](/C=C/c2cscn2)OC(=O)CCC1,448013,124
Pelitinib (EKB-569),CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/CN(C)C,c1ccc(Nc2ccnc3ccccc23)cc1,6445562,125
Pirarubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O[C@@H]6CCCCO6,O=C1c2ccccc2C(=O)c2cc3c(cc21)CCC[C@@H]3O[C@H]1CC[C@H](O[C@@H]2CCCCO2)CO1,11296583,126
Pracinostat (SB939),CCCCC1=NC2=C(N1CCN(CC)CC)C=CC(=C2)/C=C/C(=O)NO,c1ccc2[nH]cnc2c1,49855250,127
Prednisone ,C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC(=O)[C@H]21,5865,128
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,O=c1cc(-c2ccccc2)oc2ccccc12,5280343,129
Quisinostat (JNJ-26481585) 2HCl,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO.Cl.Cl,c1cnc(N2CCC(CNCc3c[nH]c4ccccc34)CC2)nc1,122129987,130
RG108,C1=CC=C2C(=C1)C(=O)N(C2=O)C(CC3=CNC4=CC=CC=C43)C(=O)O,O=C1c2ccccc2C(=O)N1CCc1c[nH]c2ccccc12,344265,131
Raltitrexed,CC1=NC2=C(C=C(C=C2)CN(C)C3=CC=C(S3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)N1,O=c1[nH]cnc2ccc(CNc3cccs3)cc12,135400182,132
Ramelteon,CCC(=O)NCC[C@@H]1CCC2=C1C3=C(C=C2)OCC3,c1cc2c(c3c1CCC3)CCO2,208902,133
Regorafenib (BAY 73-4506),CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1,11167602,134
Resminostat,CN(C)CC1=CC=C(C=C1)S(=O)(=O)N2C=CC(=C2)/C=C/C(=O)NO,O=S(=O)(c1ccccc1)n1cccc1,11609955,135
Resveratrol,C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O,C(=C/c1ccccc1)\c1ccccc1,445154,136
Rigosertib (ON-01910),COC1=C(C=C(C=C1)CS(=O)(=O)/C=C/C2=C(C=C(C=C2OC)OC)OC)NCC(=O)[O-].[Na+],O=S(=O)(/C=C/c1ccccc1)Cc1ccccc1,23696523,137
"Roscovitine (Seliciclib,CYC202)",CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,c1ccc(CNc2ncnc3[nH]cnc23)cc1,160355,138
Roxadustat (FG-4592),CC1=C2C=C(C=CC2=C(C(=N1)C(=O)NCC(=O)O)O)OC3=CC=CC=C3,c1ccc(Oc2ccc3ccncc3c2)cc1,11256664,139
"Rucaparib (AG-014699,PF-01367338) phosphate",CNCC1=CC=C(C=C1)C2=C3CCNC(=O)C4=C3C(=CC(=C4)F)N2.OP(=O)(O)O,O=C1NCCc2c(-c3ccccc3)[nH]c3cccc1c23,9931953,140
Ruxolitinib (INCB018424),C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,25126798,141
S3I-201,CC1=CC=C(C=C1)S(=O)(=O)OCC(=O)NC2=CC(=C(C=C2)C(=O)O)O,O=C(COS(=O)(=O)c1ccccc1)Nc1ccccc1,252682,142
S-Ruxolitinib (INCB018424),C1CCC(C1)[C@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,c1nc(-c2cnn(CC3CCCC3)c2)c2cc[nH]c2n1,50878566,143
SB431542,C1OC2=C(O1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)C(=O)N)C5=CC=CC=N5,c1ccc(-c2nc(-c3ccc4c(c3)OCO4)c(-c3ccccn3)[nH]2)cc1,4521392,144
SGI-1776 free base,CN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2,c1ccc(-c2cnc3ccc(NCC4CCNCC4)nn23)cc1,24795070,145
SL-327,C1=CC=C(C(=C1)C(=C(N)SC2=CC=C(C=C2)N)C#N)C(F)(F)F,C(=Cc1ccccc1)Sc1ccccc1,24906275,146
SNS-314,C1=CC(=CC(=C1)Cl)NC(=O)NC2=NC=C(S2)CCNC3=NC=NC4=C3SC=C4,O=C(Nc1ccccc1)Nc1ncc(CCNc2ncnc3ccsc23)s1,24995524,147
SRT1720 HCl,C1CN(CCN1)CC2=CSC3=NC(=CN23)C4=CC=CC=C4NC(=O)C5=NC6=CC=CC=C6N=C5.Cl,O=C(Nc1ccccc1-c1cn2c(CN3CCNCC3)csc2n1)c1cnc2ccccc2n1,25232708,148
SRT2104 (GSK2245840),CC1=C(SC(=N1)C2=CN=CC=C2)C(=O)NC3=CC=CC=C3C4=CN5C(=CSC5=N4)CN6CCOCC6,O=C(Nc1ccccc1-c1cn2c(CN3CCOCC3)csc2n1)c1cnc(-c2cccnc2)s1,25108829,149
SRT3025 HCl,COCCCC1=C(N=C(S1)C2=CC=CC=C2)C(=O)NC3=CC=CC=C3C4=NC5=C(S4)N=CC(=C5)CN6CCCC6.Cl,O=C(Nc1ccccc1-c1nc2cc(CN3CCCC3)cnc2s1)c1csc(-c2ccccc2)n1,118986647,150
Selisistat (EX 527),C1CC(C2=C(C1)C3=C(N2)C=CC(=C3)Cl)C(=O)N,c1ccc2c3c([nH]c2c1)CCCC3,5113032,151
Sirtinol,CC(C1=CC=CC=C1)NC(=O)C2=CC=CC=C2N=CC3=C(C=CC4=CC=CC=C43)O,O=C(NCc1ccccc1)c1ccccc1N=Cc1cccc2ccccc12,2827646,152
Sodium Phenylbutyrate,C1=CC=C(C=C1)CCCC(=O)[O-].[Na+],c1ccccc1,5258,153
Sorafenib Tosylate,CC1=CC=C(C=C1)S(=O)(=O)O.CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,O=C(Nc1ccccc1)Nc1ccc(Oc2ccncc2)cc1.c1ccccc1,406563,154
Streptozotocin (STZ),CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,C1CCOCC1,29327,155
TAK-901,CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=C(N3)N=CC(=C4)C)C)C(=O)NC5CCN(CC5)C,O=C(NC1CCNCC1)c1cc(-c2ccccc2)c2c(c1)[nH]c1ncccc12,16124208,156
TG101209,CC1=CN=C(N=C1NC2=CC(=CC=C2)S(=O)(=O)NC(C)(C)C)NC3=CC=C(C=C3)N4CCN(CC4)C,c1ccc(Nc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1,16722832,157
TGX-221,CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4,O=c1cc(N2CCOCC2)nc2c(CNc3ccccc3)cccn12,9907093,158
TMP195,CC(C)(CNC(=O)C1=CC=CC(=C1)C2=NOC(=N2)C(F)(F)F)C3=COC(=N3)C4=CC=CC=C4,O=C(NCCc1coc(-c2ccccc2)n1)c1cccc(-c2ncon2)c1,67324851,159
Tacedinaline (CI994),CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N,O=C(Nc1ccccc1)c1ccccc1,2746,160
Tanespimycin (17-AAG),C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC,O=C1C=C2CCCCCC/C=C/CC/C=C\C=C\C(=O)NC(=C1)C2=O,6505803,161
Tazemetostat (EPZ-6438),CCN(C1CCOCC1)C2=CC(=CC(=C2C)C(=O)NCC3=C(C=C(NC3=O)C)C)C4=CC=C(C=C4)CN5CCOCC5,O=C(NCc1ccc[nH]c1=O)c1cc(NC2CCOCC2)cc(-c2ccc(CN3CCOCC3)cc2)c1,66558664,162
"Temsirolimus (CCI-779, NSC 683864)",C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC,O=C1CC/C=C/CC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C2CCC[C@@H](CC/C=C/C=C/C=C\CCC1)O2,18293306,163
Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,5426,164
Thiotepa,C1CN1P(=S)(N2CC2)N3CC3,S=P(N1CC1)(N1CC1)N1CC1,5453,165
Tie2 kinase inhibitor,COC1=CC2=C(C=C1)C=C(C=C2)C3=C(NC(=N3)C4=CC=C(C=C4)S(=O)C)C5=CC=NC=C5,c1ccc(-c2nc(-c3ccc4ccccc4c3)c(-c3ccncc3)[nH]2)cc1,23625762,166
Tofacitinib (CP-690550) Citrate,C[C@@H]1CCN(C[C@@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,c1nc(N[C@@H]2CCCNC2)c2cc[nH]c2n1,10174505,167
Toremifene Citrate,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,3005572,168
"Tozasertib (VX-680, MK-0457)",CC1=CC(=NN1)NC2=CC(=NC(=N2)SC3=CC=C(C=C3)NC(=O)C4CC4)N5CCN(CC5)C,O=C(Nc1ccc(Sc2nc(Nc3cc[nH]n3)cc(N3CCNCC3)n2)cc1)C1CC1,5494449,169
Trametinib (GSK1120212),CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC=CC(=C4)NC(=O)C)C5CC5,O=c1cc2c(c(Nc3ccccc3)[nH]1)c(=O)n(C1CC1)c(=O)n2-c1ccccc1,11707110,170
Tranylcypromine (2-PCPA) HCl,C1[C@@H](C1C2=CC=CC=C2)N.Cl,c1ccc(C2CC2)cc1,70183457,171
Triamcinolone Acetonide,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)CCC5=CC(=O)C=C[C@@]53C)F)O,O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2C3OCO[C@@H]3C[C@H]21,6436,172
Trichostatin A (TSA),C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,c1ccccc1,444732,173
Tubastatin A HCl,CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=C(C=C4)C(=O)NO.Cl,c1ccc(Cn2c3c(c4ccccc42)CNCC3)cc1,57336514,174
Tucidinostat (Chidamide),C1=CC(=CN=C1)/C=C/C(=O)NCC2=CC=C(C=C2)C(=O)NC3=C(C=C(C=C3)F)N,O=C(/C=C/c1cccnc1)NCc1ccc(C(=O)Nc2ccccc2)cc1,12136798,175
UNC0379,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCCC3)NCCCCCN4CCCC4)OC,c1ccc2c(NCCCCCN3CCCC3)nc(N3CCCC3)nc2c1,78357767,176
UNC0631,CC(C)N1CCCN(CC1)C2=NC3=CC(=C(C=C3C(=N2)NC4CCN(CC4)CC5CCCCC5)OC)OCCCN6CCCCC6,c1cc2c(NC3CCN(CC4CCCCC4)CC3)nc(N3CCCNCC3)nc2cc1OCCCN1CCCCC1,53315868,177
UNC1999,CCCC1=C(C(=O)NC(=C1)C)CNC(=O)C2=C3C=NN(C3=CC(=C2)C4=CN=C(C=C4)N5CCN(CC5)C(C)C)C(C)C,O=C(NCc1ccc[nH]c1=O)c1cc(-c2ccc(N3CCNCC3)nc2)cc2[nH]ncc12,72551585,178
Valproic acid sodium salt (Sodium valproate),CCCC(CCC)C(=O)[O-].[Na+],,16760703,179
Vandetanib (ZD6474),CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,c1ccc(Nc2ncnc3cc(OCC4CCNCC4)ccc23)cc1,3081361,180
Veliparib (ABT-888),C[C@@]1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N,c1ccc2[nH]c(C3CCCN3)nc2c1,11960529,181
WHI-P154,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC,c1ccc(Nc2ncnc3ccccc23)cc1,3795,182
WP1066,C[C@@H](C1=CC=CC=C1)NC(=O)/C(=C/C2=NC(=CC=C2)Br)/C#N,O=C(/C=C/c1ccccn1)NCc1ccccc1,11210478,183
XAV-939,C1CSCC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,O=c1[nH]c(-c2ccccc2)nc2c1CSCC2,135418940,184
YM155 (Sepantronium Bromide),CC1=[N+](C2=C(N1CCOC)C(=O)C3=CC=CC=C3C2=O)CC4=NC=CN=C4.[Br-],O=C1c2ccccc2C(=O)c2c1[nH]c[n+]2Cc1cnccn1,11178236,185
ZM 447439,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5,O=C(Nc1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)ccc23)cc1)c1ccccc1,9914412,186
Zileuton,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,c1ccc2sccc2c1,60490,187
